Seating Interest (Sidewalk/Roadway/Both),Restaurant Name,Legal Business Name,Doing Business As (DBA),Building Number,Street,Borough,Postcode,Business Address,Sidewalk Dimensions (Area),Roadway Dimensions (Area),Approved for Sidewalk Seating,Approved for Roadway Seating,Qualify Alcohol,Landmark District or Building,landmarkDistrict_terms,Latitude,Longitude,NTA
roadway,Mexicue,Mexicue,Mexicue,225,Fifth Avenue,Manhattan,10010,"225 Fifth Avenue, Manhattan, NY",,200,no,yes,yes,no,,40.743827,-73.987907,Hudson Yards-Chelsea-Flatiron-Union Square
roadway,JUICE GENERATION,JUICE GENERATION 2 INC,JUICE GENERATION,undefined,117 WEST   72 STREET,Manhattan,10023,"117 WEST   72 STREET, Manhattan, NY",,120,no,yes,no,no,,40.777674,-73.97939,Lincoln Square
roadway,Delice & Sarrasin,Delice & Sarrasin llc,Delice & Sarrasin llc,20,christopher street,Manhattan,10014,"20 christopher street, Manhattan, NY",,84,no,yes,no,yes,yes,40.733919,-74.00066,West Village
sidewalk,Sushi Teru,Hui&Yuri Inc,Hui&Yuri Inc,165 1/2,Hudson Street,Manhattan,10014,"165 1/2  Hudson Street, Manhattan, NY",160,,yes,no,yes,yes,yes,,,
sidewalk,The Alligator Lounge,600 Metropolitan Corp,The Alligator Lounge,600,Metropolitan Avenue,Brooklyn,11211,"600 Metropolitan Avenue , Brooklyn, NY",126,,yes,no,yes,no,,40.714102,-73.948882,East Williamsburg
roadway,Antonucci Cafe,"Virgilia Cafe, Inc",Antonucci Cafe,168-70,East 81st St,Manhattan,10028,"168-70  East 81st St, Manhattan, NY",,160,no,yes,yes,no,,40.775911,-73.957092,Upper East Side-Carnegie Hill
both,Old Tbilisi,"174 Bleecker Street, LLC",Old Tbilisi,174,Bleecker Street,Manhattan,10012,"174 Bleecker Street, Manhattan, NY",308,176,yes,yes,yes,yes,yes,40.72891,-74.000689,West Village
both,OMEN JAPANESE CUISINE,"KYOTO OMEN U.S.A., INC.",OMEN JAPANESE CUISINE,undefined,113 THOMPSON STREET,Manhattan,10012,"113 THOMPSON STREET, Manhattan, NY",145,203,yes,yes,yes,no,,40.72583,-74.001851,SoHo-TriBeCa-Civic Center-Little Italy
sidewalk,Nice Matin,Renolta LLC,Nice Matin,201,West 79th Street,Manhattan,10024,"201 West 79th Street, Manhattan, NY",1600,,yes,no,yes,yes,yes,40.783251,-73.978555,Upper West Side
both,Soneros,Soneros Bar Restaurant Inc,Soneros Bar Restaurant Inc,9202,Corona Avenue,Queens,11373,"9202 Corona Avenue, Queens, NY",308,288,yes,yes,yes,no,,40.742439,-73.872218,Elmhurst
roadway,TRIBECA GRILL,HOMEBOY RESTAURANT INC,Select,undefined,375 GREENWICH STREET,Manhattan,10013,"375 GREENWICH STREET, Manhattan, NY",,400,no,yes,yes,yes,yes,40.719704,-74.010242,SoHo-TriBeCa-Civic Center-Little Italy
both,Row House,115 Restaurant Corp,Row House,2153,Frederick Douglass Blvd,Manhattan,10026,"2153 Frederick Douglass Blvd, Manhattan, NY",770,200,yes,yes,yes,no,,40.804524,-73.955304,Central Harlem South
roadway,PONGAL INDIAN CUISINE,PONGAL INC.,PONGAL INDIAN CUISINE,undefined,110 LEXINGTON AVENUE,Manhattan,10016,"110 LEXINGTON AVENUE, Manhattan, NY",,120,no,yes,yes,no,,40.742363,-73.982674,Gramercy
both,MAMO RESTAURANT,323 MM NYC LLC,MAMO RESTAURANT,323,W Broadway,Manhattan,10013,"323  W Broadway, Manhattan, NY",360,160,yes,yes,yes,yes,yes,40.721999,-74.00408,SoHo-TriBeCa-Civic Center-Little Italy
both,IL MELOGRANO,SIXSILY LLC,IL MELOGRANO,501,WEST 51ST,Manhattan,10019,"501 WEST 51ST , Manhattan, NY",64,256,yes,yes,yes,no,,40.765363,-73.991433,Clinton
roadway,EAST WIND SNACK SHOP,EAST WIND SNACK CORP,EAST WIND SNACK SHOP,undefined,471 16 STREET,Brooklyn,11215,"471 16 STREET, Brooklyn, NY",,98,no,yes,no,no,,40.660264,-73.980072,Windsor Terrace
both,Nostro Ristorante,Agoromi Restaurante LLC,Nostro Ristorante,710,5th Avenue,Brooklyn,11215,"710 5th Avenue, Brooklyn, NY",115,184,yes,yes,yes,no,,40.660656,-73.994157,Sunset Park West
both,NON LA,RONNY NGUYEN,Non La Restaurant,undefined,128 EAST    4 STREET,Manhattan,10003,"128 EAST    4 STREET, Manhattan, NY",105,192,yes,yes,no,no,,40.725366,-73.987484,East Village
roadway,Seamore's,390 Broom Restaurant LLC,Seamore's,390,Broome  Street,Manhattan,10013,"390 Broome  Street, Manhattan, NY",,512,no,yes,yes,no,,40.720544,-73.996908,SoHo-TriBeCa-Civic Center-Little Italy
both,Delizia Restaurant Corp.,Delizia Restaurant Corp.,Delizia Restaurant Corp.,1374,1avenue,Manhattan,10021,"1374  1avenue, Manhattan, NY",198,176,yes,yes,yes,no,,40.768755,-73.955292,Lenox Hill-Roosevelt Island
sidewalk,Mighty Quinn's Barbeque,Upper East BBQ LLC,Mighty Quinn's Barbeque,1492,2nd Ave.,Manhattan,10075,"1492 2nd Ave., Manhattan, NY",120,,yes,no,yes,no,,40.772466,-73.955679,Lenox Hill-Roosevelt Island
both,VITALITY HEALTH AND WELLNESS BAR,VITALITY HEALTH AND WELLNESS INC,VITALITY HEALTH AND WELLNESS BAR,undefined,475B MYRTLE AVENUE,Brooklyn,11205,"475B MYRTLE AVENUE, Brooklyn, NY",138,184,yes,yes,no,no,,40.693407,-73.966283,Clinton Hill
roadway,Thai Son,Thai Son Restaurant Inc.,Thai Son Restaurant Inc.,89,Baxter Street,Manhattan,10013,"89 Baxter Street, Manhattan, NY",,192,no,yes,yes,no,,40.716904,-73.999697,Chinatown
both,VSPOT,Vegan Wholesale Foods Corp,Vegan Wholesale Foods Corp,156,156 5th Avenue,Brooklyn,11217,"156  156 5th Avenue, Brooklyn, NY",240,160,yes,yes,yes,no,,,,
sidewalk,FRIENDSHIP FOODS,FRIENDSHIP FOODS INC,FRIENDSHIP FOODS INC,136-76,39th Ave,Queens,11354,"136-76  39th Ave, Queens, NY",700,,yes,no,yes,no,,40.760826,-73.827884,Flushing
sidewalk,Kings Co Imperial,Red House BK LLC,Kings Co Imperial,20,Skillman Avenue,Brooklyn,11211,"20 Skillman Avenue, Brooklyn, NY",408,,yes,no,yes,no,,40.715351,-73.950678,East Williamsburg
sidewalk,FUJI EAST,FUJI EAST OF ROOSEVELT ISLAND INC,FUJI EAST,undefined,455 MAIN STREET,Manhattan,10044,"455 MAIN STREET, Manhattan, NY",315,,yes,no,no,no,,40.759166,-73.952006,Lenox Hill-Roosevelt Island
both,PASIONES SPORTS-BAR,L &amp; F MARTHA CORP.,pasiones sport bar,undefined,40-04 69 STREET,Queens,11377,"40-04 69 STREET, Queens, NY",144,144,yes,yes,yes,no,,40.746021,-73.896275,Woodside
roadway,TARTINE,TARTINE INC,TARTINE INC,285,253 west 11 street,Manhattan,10014,"285  253 west 11 street, Manhattan, NY",,112,no,yes,no,yes,yes,,,
both,ROSELLA,"LITTLE FISH HOSPITALITY GROUP, LLC",ROSELLA,undefined,137 AVENUE A,Manhattan,10009,"137 AVENUE A, Manhattan, NY",75,200,yes,yes,yes,no,,40.726998,-73.982862,East Village
both,Magazine bar,Space Bar LLC,Magazine bar,130,Franklin St,Brooklyn,11222,"130 Franklin St, Brooklyn, NY",144,192,yes,yes,yes,yes,yes,40.72935,-73.957497,Greenpoint
both,ROXY'S,DREAM LOUNGE INC,ROXY'S,undefined,2279 STEINWAY ST,Queens,11105,"2279 STEINWAY ST, Queens, NY",476,272,yes,yes,yes,no,,40.771598,-73.907579,Steinway
sidewalk,Tao,BD Stanhope LLC,Tao,369,West 16th Street,Manhattan,10011,"369 West 16th Street, Manhattan, NY",5525,,yes,no,yes,no,,40.741854,-74.003367,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Silver Star,1236 Second Avenue Restaurant Corp,Silver Star Restaurant,1236,Second Avenue,Manhattan,10065,"1236  Second Avenue, Manhattan, NY",196,,yes,no,yes,no,,40.764212,-73.961706,Lenox Hill-Roosevelt Island
openstreets,POLLO CAMPERO,POLLO CAMPERO OF NEW YORK LLC,POLLO CAMPERO OF NEW YORK LLC,10326,ROOSEVELT AVENUE,Queens,11368,"10326  ROOSEVELT AVENUE , Queens, NY",,,no,no,no,no,,40.749894,-73.862397,North Corona
roadway,"Fresh Meadows Apple, LLC","Fresh Meadows Apple, LLC",Applebee's Neighborhood Grill & Bar,61-48,188th St,Queens,11365,"61-48 188th St, Queens, NY",,1072,no,yes,yes,no,,40.739227,-73.786192,Fresh Meadows-Utopia
sidewalk,POCO,BECAF LLC,POCO,undefined,33 AVENUE B,Manhattan,10009,"33 AVENUE B, Manhattan, NY",1104,,yes,no,yes,no,,40.722519,-73.983066,Lower East Side
both,DAME,PESH LLC,Patricia Howard,undefined,87 MACDOUGAL STREET,Manhattan,10012,"87 MACDOUGAL STREET, Manhattan, NY",155,248,yes,yes,yes,yes,yes,40.728965,-74.001375,West Village
sidewalk,HONG KONG BOY RESTAURANT,HONG KONG BOY RESTAURANT INC.,HONG KONG BOY RESTAURANT,undefined,6201 8 AVENUE,Brooklyn,11220,"6201 8 AVENUE, Brooklyn, NY",365,,yes,no,no,no,,40.634267,-74.010823,Sunset Park East
roadway,OLD ROSE,"JANE STREET HOTEL, LLC",OLD ROSE & The Jane Ballroom,undefined,113 JANE STREET,Manhattan,10014,"113 JANE STREET, Manhattan, NY",,595,no,yes,yes,yes,yes,40.738154,-74.009025,West Village
both,Alan's Kitchen Mexican Cuisine,ARCS FOOD SERVICES LLC,Alan's Kitchen Mexican Cuisine,undefined,316 WEST   39 STREET,Manhattan,10018,"316 WEST   39 STREET, Manhattan, NY",32,128,yes,yes,no,no,,40.755641,-73.991936,Clinton
sidewalk,chispa,derihu 18 llc.,chispa,259,st. nicholas ave,Brooklyn,11237,"259 st. nicholas ave, Brooklyn, NY",75,,yes,no,yes,no,,40.702434,-73.913009,Bushwick North
both,Eastpoint,25 B Group Rest Ave LLC,25 B Group Rest Ave LLC,25,Avenue B,Manhattan,10009,"25 Avenue B, Manhattan, NY",405,405,yes,yes,yes,no,,40.722316,-73.983214,Lower East Side
both,ORIGINAL RAY'S PIZZA,"LEXINGTON PIZZA &amp; RESTAURANT,INC.",ORIGINAL RAY'S PIZZA,undefined,811 LEXINGTON AVENUE,Manhattan,10065,"811 LEXINGTON AVENUE, Manhattan, NY",216,64,yes,yes,yes,no,,40.764392,-73.966594,Upper East Side-Carnegie Hill
openstreets,Jack's Wife Freda,Molly Picon LLC,Jack's Wife Freda,224,Lafayette,Manhattan,10012,"224  Lafayette, Manhattan, NY",,,no,no,yes,no,,,,
both,HORTUS NYC,HORTUS NYC,HORTUS NYC,271,5TH AVE,Manhattan,10016,"271 5TH AVE, Manhattan, NY",224,128,yes,yes,yes,no,,40.745553,-73.986651,Midtown-Midtown South
both,VIlla Mosconi Restaurant,Villa Mosconi Restaurant Inc,Villa Mosconi Restaurant Inc,69,Macdougal Street,Manhattan,10012,"69 Macdougal Street, Manhattan, NY",110,176,yes,yes,yes,yes,yes,40.728545,-74.001732,West Village
both,Amami Bar and Restaurant,Haku Ten Inc,Haku Ten Inc,57,Nassau Ave,Brooklyn,11222,"57 Nassau Ave, Brooklyn, NY",90,240,yes,yes,yes,no,,40.723347,-73.952118,Greenpoint
sidewalk,LA CHOZA DEL GORDO RESTAURANT,LA CHOZA DEL GORDO CORP,LA CHOZA DEL GORDO CORP,4105,NORTHERN BLVD,Queens,11101,"4105 NORTHERN BLVD, Queens, NY",765,,yes,no,yes,no,,40.752865,-73.9224,Astoria
both,DELICIAS RESTAURANT &amp; SEAFOOD,DELICIAS RESTAURANT &amp; SEAFOOD INC.,DELICIAS RESTAURANT &amp; SEAFOOD,undefined,2419 GRAND CONCOURSE,Bronx,10468,"2419 GRAND CONCOURSE, Bronx, NY",280,112,yes,yes,yes,no,,40.860639,-73.898136,Fordham South
sidewalk,"TROPICAL DINING ENTERPRISES, INC","TROPICAL DINING ENTERPRISES, INC",PALM COURT RESTAURANT & LOUNGE,171-16,HILLSIE AVENUE,Queens,11432,"171-16 HILLSIE AVENUE, Queens, NY",874,,yes,no,yes,no,,,,
sidewalk,Coney Island Taste,Coney Island Taste INC,Coney Island Taste INC,2580,Coney Island Ave,Brooklyn,11223,"2580 Coney Island Ave, Brooklyn, NY",135,,yes,no,yes,no,,40.593932,-73.960871,Homecrest
roadway,EFCO CAFE,ESCO DRUG CO INC,ESCO CAFE,undefined,687 9 AVENUE,Manhattan,10036,"687 9 AVENUE, Manhattan, NY",,96,no,yes,no,no,,40.761816,-73.990178,Clinton
both,Third Palm Tree Inc,Third Palm Tree Inc.,Third Palm Tree Inc.,2145B,Amsterdam Avenue,Manhattan,10032,"2145B Amsterdam Avenue, Manhattan, NY",340,160,yes,yes,yes,no,,40.838811,-73.937677,Washington Heights South
both,El Castillo De Jagua Restaurant,El Castillo De Jagua Restaurant,El Castillo De Jagua Restaurant,113,Rivington Street,Manhattan,10002,"113 Rivington Street, Manhattan, NY",208,128,yes,yes,yes,no,,40.719904,-73.98781,Chinatown
roadway,Follia,179 3rd Avenue LLC,179 3rd Avenue LLC,179,3rd Avenue,Manhattan,10003,"179  3rd Avenue, Manhattan, NY",,405,no,yes,yes,no,,40.734972,-73.985945,Gramercy
both,Tamarind Tribeca,Sukhmani Inc,Sukhmani Inc,99,Hudson,Manhattan,10013,"99  Hudson , Manhattan, NY",420,176,yes,yes,yes,yes,yes,,,
sidewalk,Bailey's Corner,Banna Strand,Bailey's Corner,1607,York Ave,Manhattan,10028,"1607 York Ave, Manhattan, NY",400,,yes,no,yes,no,,40.775087,-73.947752,Yorkville
both,Namu Restaurant Corp,Jadis,Jadis,42,Rivington Street,Manhattan,10002,"42 Rivington Street, Manhattan, NY",76,152,yes,yes,yes,no,,40.720895,-73.991035,Chinatown
sidewalk,SERRANO SALSA,"JW LEMSMARK, CORP",SERRANO SALSA,undefined,4979 BROADWAY,Manhattan,10034,"4979 BROADWAY, Manhattan, NY",300,,yes,no,no,no,,40.868229,-73.919405,Marble Hill-Inwood
sidewalk,The Water Hazard,"Konkapot Entertainment, Inc","Konkapot Entertainment, Inc",59,Chelsea Piers,Manhattan,10011,"59 Chelsea Piers, Manhattan, NY",2520,,yes,no,yes,no,,40.747999,-74.008496,Hudson Yards-Chelsea-Flatiron-Union Square
sidewalk,Spoons,Spoons of 13th Avenue inc,Spoons of 13th Avenue inc,5001,13,Brooklyn,11219,"5001  13, Brooklyn, NY",260,,yes,no,no,no,,,,
sidewalk,Jin Ramen,Jin Ramen Corporation,Jin Ramen Corporation,3183,Broadway,Manhattan,10027,"3183 Broadway, Manhattan, NY",300,,yes,no,yes,no,,40.815274,-73.958602,Morningside Heights
roadway,c. di palo,"LSMC, LLC",C. Di Palo,151-153,mott street,Manhattan,10013,"151-153 mott street, Manhattan, NY",,288,no,yes,yes,no,,40.719221,-73.996421,SoHo-TriBeCa-Civic Center-Little Italy
roadway,Marble Dessert Bar,M Degree LLC,M Degree LLC,27,Bedford Street,Manhattan,10014,"27 Bedford Street, Manhattan, NY",,75,no,yes,yes,yes,yes,40.729217,-74.003594,West Village
sidewalk,Franks Pizza,Salvi Pizza Corp,Franks Pizza,2134,Flatbush Av,Brooklyn,11234,"2134  Flatbush Av, Brooklyn, NY",420,,yes,no,yes,no,,40.61777,-73.931569,Georgetown-Marine Park-Bergen Beach-Mill Basin
both,Ruffian Wine Bar,"PJC Restaurant, LLC",Ruffian Wine Bar,125,E 7th St,Manhattan,10009,"125  E 7th St, Manhattan, NY",110,176,yes,yes,yes,yes,yes,40.726386,-73.984309,East Village
sidewalk,Yuzu,Podo inc,Yuzu,350,Lenox ave,Manhattan,10027,"350 Lenox ave, Manhattan, NY",154,,yes,no,yes,no,,40.809433,-73.944261,Central Harlem North-Polo Grounds
both,Glow Thai,Rung Reung Group LLC,Glow Thai,7107,3rd Ave,Brooklyn,11209,"7107 3rd Ave, Brooklyn, NY",160,128,yes,yes,yes,no,,40.633872,-74.026798,Bay Ridge
sidewalk,Pierogi Boys,Pierogi Pierogi Corp,Pierogi Boys,445,Albee Sq West,Brooklyn,11201,"445 Albee Sq West, Brooklyn, NY",100,,yes,no,yes,no,,40.690833,-73.983452,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
roadway,Ducks Eatery,Ducks Eatery EV LLC,Ducks Eatery,351,East 12th Street,Manhattan,10003,"351 East 12th Street, Manhattan, NY",,150,no,yes,yes,no,,40.730515,-73.984702,East Village
roadway,THREES,CLOUET LLC.,Threes Brewing Franklin + Kent,undefined,113 FRANKLIN STREET,Brooklyn,11222,"113 FRANKLIN STREET, Brooklyn, NY",,512,no,yes,yes,no,,40.729984,-73.957623,Greenpoint
both,GINO'S PIZZERIA RESTAURANT,NONNA ROSA PIZZA INC,NONNA ROSA PIZZA INC,345,E 83 ST,Manhattan,10028,"345 E 83 ST, Manhattan, NY",161,184,yes,yes,yes,no,,40.77547,-73.952063,Yorkville
roadway,khaabar.   baari,khaabar baari. restaurent   and. parti house. inc,khaabar baari. restaurent   and. parti house. inc,37-22-73,73street,Queens,11372,"37-22-73 73street, Queens, NY",,240,no,yes,no,no,,,,
sidewalk,D'Alessandro's Corner Grill,Father & Son 39-35 LLC,Father & Son 39-35 LLC,39-35,Bell Blvd,Queens,11361,"39-35 Bell Blvd, Queens, NY",150,,yes,no,yes,no,,40.764909,-73.771662,Bayside-Bayside Hills
sidewalk,LA NUEVA ESTRELLA BAR &amp; RESTAURANT,LOS MUCHACHOS RESTAURANT CORP,LA NUEVA ESTRELLA BAR &amp; RESTAURANT,undefined,390 EAST  204 STREET,Bronx,10467,"390 EAST  204 STREET, Bronx, NY",650,,yes,no,yes,no,,40.871326,-73.877036,Norwood
both,GORDOS CANTINA,"GORDOS 140 ST. NICHOLAS, LLC",GORDOS CANTINA,undefined,140 SAINT NICHOLAS AVENUE,Brooklyn,11237,"140 SAINT NICHOLAS AVENUE, Brooklyn, NY",270,112,yes,yes,yes,no,,40.705053,-73.917467,Bushwick North
roadway,MARKET TABLE,JOHN DORY LLC,MARKET TABLE,undefined,54 CARMINE STREET,Manhattan,10014,"54 CARMINE STREET, Manhattan, NY",,400,no,yes,yes,yes,yes,40.729939,-74.003666,West Village
roadway,Patzeria Perfect Pizza,Patzeria Perfect Pizza,Patzeria Perfect Pizza,231,Wet 46th Street,Manhattan,10036,"231 Wet 46th Street, Manhattan, NY",,192,no,yes,yes,no,,,,
roadway,Endswell Bar & Bistro,HEYDAY Cocktail and Cafe LLC,HEYDAY Cocktail and Cafe LLC,773,Fulton St.,Brooklyn,11217,"773 Fulton St., Brooklyn, NY",,200,no,yes,yes,no,,40.686047,-73.973758,Fort Greene
both,Previti Pizza,Previti Pizza Corp.,Previti Pizza,123,East 41st Street,Manhattan,10168,"123 East 41st Street, Manhattan, NY",264,264,yes,yes,yes,yes,yes,40.750943,-73.976908,Murray Hill-Kips Bay
both,The New York Beer Company,New York Beer & Beverage LLC,The New York Beer Company,321,W 44th Street,Manhattan,10036,"321 W 44th Street, Manhattan, NY",280,320,yes,yes,yes,no,,40.75889,-73.989669,Clinton
roadway,Nomo Soho,9 Crosby LLC & Highgate Hotels LP,Nomo Soho,9,Crosby Street,Manhattan,10013,"9 Crosby Street, Manhattan, NY",,256,no,yes,yes,yes,yes,40.719904,-74.000307,SoHo-TriBeCa-Civic Center-Little Italy
roadway,The Writing Room,Samson Grey LLC,The Writing Room,1703,2nd Avenue,Manhattan,10128,"1703 2nd Avenue, Manhattan, NY",,400,no,yes,yes,no,,40.779329,-73.950699,Yorkville
sidewalk,Williamsburg Pizza,"Williamsburg Pizza, LLC","Williamsburg Pizza, LLC",2654,Union Ave,Brooklyn,11211,"2654 Union Ave, Brooklyn, NY",96,,yes,no,no,no,,,,
sidewalk,THE USUAL,"153 ELIZABETH HOTEL, LLC",Kimika,undefined,30 KENMARE STREET,Manhattan,10012,"30 KENMARE STREET, Manhattan, NY",400,,yes,no,yes,no,,40.720687,-73.995173,SoHo-TriBeCa-Civic Center-Little Italy
roadway,Love and Dough,Water St Tavern Corp,Love and Dough,57,Pearl Street,Brooklyn,11201,"57  Pearl Street, Brooklyn, NY",,160,no,yes,no,no,,40.703056,-73.987582,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill
both,GAETANAS,PETNO RESTAURANT INC,GAETANAS,143,CHRISTOPHER STREET,Manhattan,10014,"143  CHRISTOPHER STREET, Manhattan, NY",280,320,yes,yes,yes,yes,yes,40.732829,-74.007693,West Village
both,All stars sports bar & grill,alaia wings inc,alaia wings inc,327,west 57 th st,Manhattan,10019,"327 west 57 th st , Manhattan, NY",198,144,yes,yes,yes,no,,,,
roadway,SIP AND COMPANY,PROPER HOSPITALITY MANAGEMENT LLC.,Sip and Company,undefined,41 WEST   58 STREET,Manhattan,10019,"41 WEST   58 STREET, Manhattan, NY",,184,no,yes,no,no,,40.764397,-73.975232,Midtown-Midtown South
both,Cantina 33 Inc,Cantina 33 Inc,Cantina 33 Inc,5533,Myrtle Avenue,Queens,11385,"5533  Myrtle Avenue , Queens, NY",256,128,yes,yes,yes,no,,40.699981,-73.907505,Ridgewood
both,Erv's on Beekman,2122 Beekman Bar LLC,Erv's on Beekman,2122,Beekman Place,Brooklyn,11225,"2122  Beekman Place, Brooklyn, NY",240,320,yes,yes,yes,no,,40.66001,-73.960825,Prospect Lefferts Gardens-Wingate
both,Devon and blakely,250 Park Group Inc,Devon and blakely,250 Park,250 Park Avenue,Manhattan,10177,"250 Park  250 Park Avenue , Manhattan, NY",435,480,yes,yes,no,no,,,,
both,Attraversa Tribeca,225 West Broadway Corp,225 West Broadway Corp,225,West Broadway,Manhattan,10013,"225 West Broadway, Manhattan, NY",266,112,yes,yes,yes,yes,yes,40.719303,-74.006241,SoHo-TriBeCa-Civic Center-Little Italy
both,DOS31 Cocina Bar,DOS31 LLC,DOS31 LLC,231,South 4th Street,Brooklyn,11212,"231 South 4th Street, Brooklyn, NY",154,200,yes,yes,yes,no,,40.710461,-73.959057,North Side-South Side
roadway,JUST SALAD,JUST SALAD PARK SLOPE LLC,JUST SALAD,undefined,252 7 AVENUE,Brooklyn,11215,"252 7 AVENUE, Brooklyn, NY",,336,no,yes,no,no,,40.669407,-73.9795,Park Slope-Gowanus
both,PIONEERS BAR &amp; LOUNGE,COMEDY CLUBHOUSE INC,PIONEERS BAR &amp; LOUNGE,undefined,134 WEST   29 STREET,Manhattan,10001,"134 WEST   29 STREET, Manhattan, NY",120,800,yes,yes,yes,no,,40.747121,-73.99119,Midtown-Midtown South
roadway,La Contenta,La Contenta Inc,La Contenta,102,Norfolk,Manhattan,10002,"102 Norfolk , Manhattan, NY",,80,no,yes,yes,no,,40.71882,-73.987125,Lower East Side
both,TAQUERIA 86,TAQUERIA 86 INC,TAQUERIA 86,undefined,210 WEST   94 STREET,Manhattan,10025,"210 WEST   94 STREET, Manhattan, NY",180,180,yes,yes,no,no,,40.792958,-73.971823,Upper West Side
both,Katzs Delicatessen,"Katzs Delicatessen of Houston St, Inc",Katzs Deli,205,East Houston St,Manhattan,10002,"205 East Houston St, Manhattan, NY",120,320,yes,yes,yes,no,,40.722511,-73.987301,Chinatown
sidewalk,ADDICTIVE WINE & TAPAS,ADDICTIVE WINE BAR CORPORATION,ADDICTIVE WINE AND TAPAS BAR 1 CORPORATION,8701,NORTHERN BLVD,Queens,11372,"8701 NORTHERN BLVD, Queens, NY",135,,yes,no,yes,no,,40.756071,-73.880584,Jackson Heights
sidewalk,T & J Jamaican Flava INC,T & J Jamaican Flava INC,T & J Jamaican Flava INC,1257,97 street,Manhattan,10029,"1257 97 street , Manhattan, NY",60,,yes,no,no,no,,,,
both,QUAN SUSHI &amp; GRILL,QUAN SUSHI &amp; GRILL INC,QUAN SUSHI &amp; GRILL,undefined,375 BROOME STREET,Manhattan,10013,"375 BROOME STREET, Manhattan, NY",128,128,yes,yes,yes,no,,40.720289,-73.99632,SoHo-TriBeCa-Civic Center-Little Italy
both,Rab's Country Lanes,"Country Lanes Pizza & Snacks, Inc.",Gennaro's at Country Lanes,1600,Hylan Boulevard,Staten Island,10305,"1600 Hylan Boulevard, Staten Island, NY",378,504,yes,yes,yes,no,,40.589514,-74.089443,Old Town-Dongan Hills-South Beach
both,Phuman Singh,53 west 72nd street cafe llc,Dakota bar,53,72 street,Manhattan,10023,"53  72 street , Manhattan, NY",1248,160,yes,yes,yes,yes,yes,,,
both,Doe's Place,Doe's Place,Doe's Place,154,Mansion Ave,Staten Island,10308,"154 Mansion Ave, Staten Island, NY",72,24,yes,yes,yes,yes,yes,40.544308,-74.140907,Great Kills
sidewalk,Cammy's,CAMMY'S CAFE LLC,Cammy's,undefined,153 EAST  106 STREET,Manhattan,10029,"153 EAST  106 STREET, Manhattan, NY",84,,yes,no,no,no,,40.792068,-73.945832,East Harlem South
both,Cannelle LIC,CANNELLE LONG ISLAND CITY LLC,Cannelle LIC,undefined,5-11 47 AVENUE,Queens,11101,"5-11 47 AVENUE, Queens, NY",500,400,yes,yes,no,no,,40.745886,-73.955155,Hunters Point-Sunnyside-West Maspeth
both,Chez Moi,Le Montague llc,Le Montague llc,135,Atlantic ave,Brooklyn,11201,"135  Atlantic ave, Brooklyn, NY",20,112,yes,yes,yes,yes,yes,40.690577,-73.99555,Brooklyn Heights-Cobble Hill
roadway,SAGE Restaurant,Graham Restaurant LLC,Sage,299-301,Graham,Brooklyn,11211,"299-301  Graham, Brooklyn, NY",,364,no,yes,yes,no,,40.712908,-73.944129,East Williamsburg
both,View Pizzeria,VIEW PIZZERIA CORP,View Pizzeria,undefined,1502 150TH ST,Queens,11357,"1502 150TH ST, Queens, NY",147,208,yes,yes,no,no,,40.78683,-73.813455,Whitestone
both,El Viejo Jhons Restaurant,El Viejo Jhons Restaurant,El Viejo Jhons Restaurant,5603,5th ave,Brooklyn,11220,"5603  5th ave , Brooklyn, NY",24,144,yes,yes,yes,no,,40.64165,-74.013902,Sunset Park East
roadway,Wicked Willy's,Ship Wrecked Bar and Grill Inc,Wicked Willy's,149,Bleecker,Manhattan,10012,"149 Bleecker, Manhattan, NY",,224,no,yes,yes,no,,,,
sidewalk,DAHUA RESTAURANT INC,DAHUA RESTAURANT INC,DAHUA RESTAURANT INC,36-40,UNION STREET,Queens,11354,"36-40 UNION STREET, Queens, NY",240,,yes,no,yes,no,,40.763195,-73.82791,Flushing
both,Snowdonia,Screening Room Bar LLC,Screening Room Bar LLC,32-01,35th Ave,Queens,11106,"32-01  35th Ave, Queens, NY",150,150,yes,yes,yes,no,,40.757704,-73.927577,Astoria
sidewalk,Little Owl,Blackfoot Consulting,Little Owl,90,Bedford Street,Manhattan,10014,"90  Bedford Street, Manhattan, NY",112,,yes,no,yes,yes,yes,40.732217,-74.005315,West Village
both,CHICK CHICK,MISSION 618 CORP,CHICK CHICK,undefined,618 AMSTERDAM AVENUE,Manhattan,10024,"618 AMSTERDAM AVENUE, Manhattan, NY",300,0,yes,yes,yes,no,,40.790153,-73.973226,Upper West Side
